,base_name,mesylate_id,phenol_id,solvent_name,temperature,yield,prediction
135,BTMG,m6,p3,tAmOH,t20,,0.020281463204399993
136,BTMG,m6,p3,tAmOH,t40,,0.0470644838646
137,BTMG,m6,p3,tAmOH,t60,,0.0936263812396
138,BTMG,m6,p4,DMF,t20,,0.059887961510000046
139,BTMG,m6,p4,DMF,t40,,0.10921111970510004
140,BTMG,m6,p4,DMF,t60,,0.1371546268859
141,BTMG,m6,p4,tAmOH,t20,,0.05508920671320003
142,BTMG,m6,p4,tAmOH,t40,,0.10205775793320003
143,BTMG,m6,p4,tAmOH,t60,,0.12429550434300003
144,BTMG,m6,p6,DMF,t20,,0.11716860418210005
145,BTMG,m6,p6,DMF,t40,0.1943675222999999,0.20599666297169986
146,BTMG,m6,p6,DMF,t60,,0.23522536138329997
147,BTMG,m6,p6,tAmOH,t20,,0.12976549220180006
148,BTMG,m6,p6,tAmOH,t40,,0.2100138844496998
149,BTMG,m6,p6,tAmOH,t60,,0.25360086877449983
150,Cs2CO3,m2,p1,DMF,t20,,0.08476543554769994
151,Cs2CO3,m2,p1,DMF,t40,,0.09763330936150001
152,Cs2CO3,m2,p1,DMF,t60,,0.08607337647139994
153,Cs2CO3,m2,p1,tAmOH,t20,,0.08197945294169993
154,Cs2CO3,m2,p1,tAmOH,t40,0.1321213982,0.09858028144100002
155,Cs2CO3,m2,p1,tAmOH,t60,,0.08719773909569996
156,Cs2CO3,m2,p2,DMF,t20,,0.07969550940580003
157,Cs2CO3,m2,p2,DMF,t40,0.110026032,0.08992214521890009
158,Cs2CO3,m2,p2,DMF,t60,,0.08136117938240008
159,Cs2CO3,m2,p2,tAmOH,t20,,0.06312340251600003
160,Cs2CO3,m2,p2,tAmOH,t40,,0.07463788900140006
161,Cs2CO3,m2,p2,tAmOH,t60,,0.07025319234300005
162,Cs2CO3,m2,p3,DMF,t20,,0.043675270314300005
163,Cs2CO3,m2,p3,DMF,t40,0.04701629854,0.047312731923
164,Cs2CO3,m2,p3,DMF,t60,,0.04502306656179998
165,Cs2CO3,m2,p3,tAmOH,t20,,0.0339875278308
166,Cs2CO3,m2,p3,tAmOH,t40,,0.036797797629800004
167,Cs2CO3,m2,p3,tAmOH,t60,,0.035618220359199995
168,Cs2CO3,m2,p4,DMF,t20,,0.05803725360130001
169,Cs2CO3,m2,p4,DMF,t40,,0.0692259320488
170,Cs2CO3,m2,p4,DMF,t60,,0.06521466592240001
171,Cs2CO3,m2,p4,tAmOH,t20,,0.039597751689399996
172,Cs2CO3,m2,p4,tAmOH,t40,,0.0534969099758
173,Cs2CO3,m2,p4,tAmOH,t60,,0.0515076145615
174,Cs2CO3,m2,p6,DMF,t20,,0.2479742223913002
175,Cs2CO3,m2,p6,DMF,t40,,0.2527915785524002
176,Cs2CO3,m2,p6,DMF,t60,,0.3040159680022001
177,Cs2CO3,m2,p6,tAmOH,t20,,0.2545002720137002
178,Cs2CO3,m2,p6,tAmOH,t40,,0.25508658023400016
179,Cs2CO3,m2,p6,tAmOH,t60,,0.3216799438644001
180,Cs2CO3,m3,p1,DMF,t20,,0.0329332934783
181,Cs2CO3,m3,p1,DMF,t40,,0.040728468402299975
182,Cs2CO3,m3,p1,DMF,t60,,0.03306585050349999
183,Cs2CO3,m3,p1,tAmOH,t20,,0.0314401079598
184,Cs2CO3,m3,p1,tAmOH,t40,,0.04216046007129998
185,Cs2CO3,m3,p1,tAmOH,t60,,0.034113996257699994
186,Cs2CO3,m3,p2,DMF,t20,0.02203681229,0.04145867701650002
187,Cs2CO3,m3,p2,DMF,t40,,0.048741197117599964
188,Cs2CO3,m3,p2,DMF,t60,,0.042171421671499995
189,Cs2CO3,m3,p2,tAmOH,t20,,0.03191123829080001
190,Cs2CO3,m3,p2,tAmOH,t40,,0.03989782568529998
191,Cs2CO3,m3,p2,tAmOH,t60,,0.03701311426239998
192,Cs2CO3,m3,p3,DMF,t20,,0.015310067945399998
193,Cs2CO3,m3,p3,DMF,t40,,0.016105198043099993
194,Cs2CO3,m3,p3,DMF,t60,,0.014094858521099993
195,Cs2CO3,m3,p3,tAmOH,t20,,0.011052816417799998
196,Cs2CO3,m3,p3,tAmOH,t40,,0.0120925829739
197,Cs2CO3,m3,p3,tAmOH,t60,,0.010791393058599998
198,Cs2CO3,m3,p4,DMF,t20,,0.028501392394500006
199,Cs2CO3,m3,p4,DMF,t40,,0.0355764081601
200,Cs2CO3,m3,p4,DMF,t60,,0.033768049006100004
201,Cs2CO3,m3,p4,tAmOH,t20,,0.014598428485200002
202,Cs2CO3,m3,p4,tAmOH,t40,,0.022520281045699985
203,Cs2CO3,m3,p4,tAmOH,t60,,0.022855170647199996
204,Cs2CO3,m3,p6,DMF,t20,,0.06319710009899998
205,Cs2CO3,m3,p6,DMF,t40,,0.07738178959399998
206,Cs2CO3,m3,p6,DMF,t60,,0.13034015437369986
207,Cs2CO3,m3,p6,tAmOH,t20,0.04404858183,0.06370859475020002
208,Cs2CO3,m3,p6,tAmOH,t40,,0.07299343547430001
209,Cs2CO3,m3,p6,tAmOH,t60,,0.14455801579859986
210,Cs2CO3,m4,p1,DMF,t20,,0.05205325116859996
211,Cs2CO3,m4,p1,DMF,t40,,0.06083049273059997
212,Cs2CO3,m4,p1,DMF,t60,,0.040718619043599975
213,Cs2CO3,m4,p1,tAmOH,t20,,0.05948233047329997
214,Cs2CO3,m4,p1,tAmOH,t40,,0.06932155531539996
215,Cs2CO3,m4,p1,tAmOH,t60,,0.05019640654579999
216,Cs2CO3,m4,p2,DMF,t20,,0.08005827592109994
217,Cs2CO3,m4,p2,DMF,t40,,0.08540421047880002
218,Cs2CO3,m4,p2,DMF,t60,,0.059459262013900026
219,Cs2CO3,m4,p2,tAmOH,t20,,0.07847505002819997
220,Cs2CO3,m4,p2,tAmOH,t40,,0.0883808955391
221,Cs2CO3,m4,p2,tAmOH,t60,0.04668578593,0.06583963589840006
222,Cs2CO3,m4,p3,DMF,t20,,0.025675771722400004
223,Cs2CO3,m4,p3,DMF,t40,,0.0280085733274
224,Cs2CO3,m4,p3,DMF,t60,,0.019118332229399994
225,Cs2CO3,m4,p3,tAmOH,t20,,0.026349887771999998
226,Cs2CO3,m4,p3,tAmOH,t40,,0.029218186765999996
227,Cs2CO3,m4,p3,tAmOH,t60,,0.021628173413099992
228,Cs2CO3,m4,p4,DMF,t20,,0.05521915868259998
229,Cs2CO3,m4,p4,DMF,t40,,0.060722655396899985
230,Cs2CO3,m4,p4,DMF,t60,,0.0405758519171
231,Cs2CO3,m4,p4,tAmOH,t20,,0.0520264796722
232,Cs2CO3,m4,p4,tAmOH,t40,,0.0613587754935
233,Cs2CO3,m4,p4,tAmOH,t60,,0.043635002036
234,Cs2CO3,m4,p6,DMF,t20,,0.13759175009910005
235,Cs2CO3,m4,p6,DMF,t40,,0.14999338938500004
236,Cs2CO3,m4,p6,DMF,t60,0.03827634618,0.10197971668839999
237,Cs2CO3,m4,p6,tAmOH,t20,,0.1847090863651
238,Cs2CO3,m4,p6,tAmOH,t40,0.2851472817,0.2059146971614999
239,Cs2CO3,m4,p6,tAmOH,t60,,0.16008373281930005
240,Cs2CO3,m5,p1,DMF,t20,,0.04938952195869997
241,Cs2CO3,m5,p1,DMF,t40,,0.05134652705959996
242,Cs2CO3,m5,p1,DMF,t60,,0.04078320776589997
243,Cs2CO3,m5,p1,tAmOH,t20,,0.045163792786499984
244,Cs2CO3,m5,p1,tAmOH,t40,,0.05145271177179997
245,Cs2CO3,m5,p1,tAmOH,t60,,0.04013754161509998
246,Cs2CO3,m5,p2,DMF,t20,0.09925969572,0.08213695900329993
247,Cs2CO3,m5,p2,DMF,t40,,0.07900088032949996
248,Cs2CO3,m5,p2,DMF,t60,,0.06318099891899995
249,Cs2CO3,m5,p2,tAmOH,t20,,0.058278120813799975
250,Cs2CO3,m5,p2,tAmOH,t40,,0.06172291307359999
251,Cs2CO3,m5,p2,tAmOH,t60,,0.052633501637599986
252,Cs2CO3,m5,p3,DMF,t20,,0.0209078973177
253,Cs2CO3,m5,p3,DMF,t40,,0.020515416279999997
254,Cs2CO3,m5,p3,DMF,t60,,0.01916664901679999
255,Cs2CO3,m5,p3,tAmOH,t20,,0.011308975544199996
256,Cs2CO3,m5,p3,tAmOH,t40,,0.012716147166799998
257,Cs2CO3,m5,p3,tAmOH,t60,,0.0126990117102
258,Cs2CO3,m5,p4,DMF,t20,0.05551560102,0.03953654111530006
259,Cs2CO3,m5,p4,DMF,t40,,0.03435331681490004
260,Cs2CO3,m5,p4,DMF,t60,,0.030928830474600013
261,Cs2CO3,m5,p4,tAmOH,t20,0.0,0.005253694097699999
262,Cs2CO3,m5,p4,tAmOH,t40,0.0,0.005703834294199999
263,Cs2CO3,m5,p4,tAmOH,t60,,0.006189683351799996
264,Cs2CO3,m5,p6,DMF,t20,,0.07259465131739992
265,Cs2CO3,m5,p6,DMF,t40,,0.0884206188513999
266,Cs2CO3,m5,p6,DMF,t60,,0.07435534284359993
267,Cs2CO3,m5,p6,tAmOH,t20,,0.06876912120129995
268,Cs2CO3,m5,p6,tAmOH,t40,,0.08186570526219994
269,Cs2CO3,m5,p6,tAmOH,t60,,0.07800228995539993
270,Cs2CO3,m6,p1,DMF,t20,,0.04654574458909997
271,Cs2CO3,m6,p1,DMF,t40,,0.055531127045399954
272,Cs2CO3,m6,p1,DMF,t60,,0.04266931783179997
273,Cs2CO3,m6,p1,tAmOH,t20,,0.048346011545799976
274,Cs2CO3,m6,p1,tAmOH,t40,,0.059670903463799954
275,Cs2CO3,m6,p1,tAmOH,t60,,0.049705629215399984
276,Cs2CO3,m6,p2,DMF,t20,,0.07170783114489997
277,Cs2CO3,m6,p2,DMF,t40,0.0915989859499999,0.08088104420040003
278,Cs2CO3,m6,p2,DMF,t60,,0.0613509225719
279,Cs2CO3,m6,p2,tAmOH,t20,,0.05624593033109997
280,Cs2CO3,m6,p2,tAmOH,t40,,0.0682140687362
281,Cs2CO3,m6,p2,tAmOH,t60,,0.0553328388906
282,Cs2CO3,m6,p3,DMF,t20,,0.018706984108699993
283,Cs2CO3,m6,p3,DMF,t40,,0.01996447167809999
284,Cs2CO3,m6,p3,DMF,t60,0.00502415368,0.01344152515649999
285,Cs2CO3,m6,p3,tAmOH,t20,,0.016760906881199987
286,Cs2CO3,m6,p3,tAmOH,t40,,0.019287135761299985
287,Cs2CO3,m6,p3,tAmOH,t60,,0.01360747561539999
288,Cs2CO3,m6,p4,DMF,t20,,0.043671955056100026
289,Cs2CO3,m6,p4,DMF,t40,,0.050346165862500014
290,Cs2CO3,m6,p4,DMF,t60,,0.03002119480370001
291,Cs2CO3,m6,p4,tAmOH,t20,,0.028151185460700008
292,Cs2CO3,m6,p4,tAmOH,t40,,0.03688433864110002
293,Cs2CO3,m6,p4,tAmOH,t60,0.00324204235,0.01879054714309997
294,Cs2CO3,m6,p6,DMF,t20,,0.08431655888549995
295,Cs2CO3,m6,p6,DMF,t40,,0.09441068537419996
296,Cs2CO3,m6,p6,DMF,t60,,0.09514202644729998
297,Cs2CO3,m6,p6,tAmOH,t20,,0.08509080578159996
298,Cs2CO3,m6,p6,tAmOH,t40,,0.09491727206779997
299,Cs2CO3,m6,p6,tAmOH,t60,,0.1078403498708
300,K3PO4,m2,p1,DMF,t20,,0.032287571471200004
301,K3PO4,m2,p1,DMF,t40,,0.04400714874219998
302,K3PO4,m2,p1,DMF,t60,,0.03806556091979997
303,K3PO4,m2,p1,tAmOH,t20,,0.0271090469507
304,K3PO4,m2,p1,tAmOH,t40,,0.03995003527219999
305,K3PO4,m2,p1,tAmOH,t60,0.0,0.03160741040129999
306,K3PO4,m2,p2,DMF,t20,,0.053695513657400024
307,K3PO4,m2,p2,DMF,t40,,0.07130993577730006
308,K3PO4,m2,p2,DMF,t60,,0.06943837922430006
309,K3PO4,m2,p2,tAmOH,t20,,0.042724358696
310,K3PO4,m2,p2,tAmOH,t40,,0.06072138527370006
311,K3PO4,m2,p2,tAmOH,t60,0.08866392228,0.06539705617900009
312,K3PO4,m2,p3,DMF,t20,,0.025045354181699994
313,K3PO4,m2,p3,DMF,t40,,0.032232787472100004
314,K3PO4,m2,p3,DMF,t60,,0.032017591221499976
315,K3PO4,m2,p3,tAmOH,t20,,0.017212717446499992
316,K3PO4,m2,p3,tAmOH,t40,,0.021993474291499993
317,K3PO4,m2,p3,tAmOH,t60,,0.020970268104299986
318,K3PO4,m2,p4,DMF,t20,,0.0480575556395
319,K3PO4,m2,p4,DMF,t40,,0.06511149984199999
320,K3PO4,m2,p4,DMF,t60,,0.06181793496160001
321,K3PO4,m2,p4,tAmOH,t20,,0.034419212372
322,K3PO4,m2,p4,tAmOH,t40,,0.0523732082375
323,K3PO4,m2,p4,tAmOH,t60,,0.0536949629125
324,K3PO4,m2,p6,DMF,t20,,0.2365013866313002
325,K3PO4,m2,p6,DMF,t40,,0.24256763726780017
326,K3PO4,m2,p6,DMF,t60,,0.2991440695677002
