ligand,electrophile,electrophile_pci_name,nucleophile,nucleophile_pci_name,yield,ligand_smiles,electrophile_smiles,nucleophile_smiles,product_smiles
A-caPhos,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,86.21,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
BrettPhos,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,85.76,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
CX-FBu,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,63.81,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
CX-PICy,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,86.08,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
Cy-DavePhos,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,89.01,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
Cy-vBRIDP,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,88.55,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
Kwong,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,90.49,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
MeO-KITPHOS,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,84.44,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
P(o-Anis)3,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,35.0,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
Et-PhenCar-Phos,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,89.42,CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
JackiePhos,2-Acetyl-5-bromothiophene,2,2-Isopropyl-1-methyl-1H-imidazole,D,91.07,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1
